"","StnLocation","geometry"
"219","Shediac",c(-64.5394765, 46.2346436666667)
"220","Shediac - Pointe-du-Chene YC",c(-64.52606, 46.24027)
"221","Shediac - Shediac Bay Yacht Club",c(-64.54607, 46.2278)
"222","Shediac Bay",c(-64.53602778, 46.2446944)
"223","Shediac leases",c(-64.549966, 46.291433)
"224","Shelburne YC",c(-65.322000000008, 43.7577999999927)
"225","Shemogue",c(-64.06772222, 46.16625)
"226","Ship Harbour",c(-62.872000000407, 44.8124000002965)
"227","Shippagan",c(-64.7079075, 47.7480075)
"228","Sober Island",c(-62.4700000001985, 44.8399999998634)
"229","Souris",c(-62.24905, 46.3470725)
"230","South Bar",c(-60.2041000002936, 46.1997000002383)
"231","South Lake",c(-62.05313889, 46.4117222)
"232","Southwest River",c(-63.5015333333333, 46.48355)
"233","St Andrew's",c(-67.0530999999531, 45.0676999998821)
"234","St Anns Bay",c(-60.5643999999994, 46.278500000145)
"235","St Peters",c(-60.8743999997932, 45.6611499998908)
"236","St. Anne Bay",c(-65.0691333333333, 47.0774166666667)
"237","St. Mary's Bay",c(-62.52092, 46.12703)
"238","St. Simon",c(-64.77655, 47.71673333)
"239","St. Simon Sud",c(-64.77655, 47.71673333)
"240","Stanley Bridge",c(-63.4597125, 46.463334)
"241","Summerside",c(-63.7872325, 46.3887425)
"242","Summerside comm wharf",c(-63.79242, 46.38937)
"243","Summerside marina",c(-63.78577, 46.38834)
"244","Sydney Dobson Yacht Club",c(-60.2043660004323, 46.1372729999744)
"245","Sydney RCBYC",c(-60.1972410001799, 46.1391970000677)
"246","Tantallon Shining Waters Marina",c(-63.91296400028, 44.658432000097)
"247","Tatamagouche",c(-63.29644, 45.77449)
"248","Tignish",c(-64.0023833333333, 46.9529666666667)
"249","Tiverton",c(-66.2141299999119, 44.3968099998877)
"250","Tracadie",c(-64.5269493333333, 47.2996093333333)
"251","Upper Port La Tour",c(-65.4693000000713, 43.5060000002877)
"252","Venus Cove",c(-61.3900469998641, 45.6147790000964)
"253","Wallace Bay",c(-63.4535000004403, 45.8098700003)
"254","Wallace Cove",c(-66.8051999996155, 45.0465999997076)
"255","Wedgeport",c(-65.9694699999904, 43.7137000001345)
"256","Wedgeport Tuna Wharf",c(-65.9843399997284, 43.7120399997367)
"257","West Head",c(-65.6545799995846, 43.4581300001401)
"258","West Point",c(-64.37206, 46.6190825)
"259","Westport",c(-66.3480000002151, 44.264900000108)
"260","Whitehead - Munroe Point (stnD)",c(-61.1735199997113, 45.2517699998183)
"261","Whitehead - NE Branch (stn F)",c(-61.1358800000119, 45.2714699996972)
"262","Whitehead - Northwest (stn E)",c(-61.1638300003023, 45.2779800003071)
"263","Whitehead - White Islands (stnC)",c(-61.1615799998916, 45.2428300003143)
"264","Whitehead - Yankee Cove (stnA)",c(-61.1587500004211, 45.2329699998871)
"265","Whitehead Aqua",c(-61.1526200001143, 45.2394300000266)
"266","Whitehead Wharf",c(-61.1897700001908, 45.2402070001039)
"267","Whycocomagh",c(-61.1124740000254, 45.9683789999456)
"268","Wilson's Beach",c(-66.9399999999844, 44.928299999869)
"269","Wine Harbour",c(-61.8614999999637, 45.0715000000205)
"270","Wood Islands",c(-62.7483775, 45.953415)
"271","Yarmouth Bar",c(-66.1478500001355, 43.8164800000964)
"272","Yarmouth Yacht Club",c(-66.1232800001702, 43.8363600001232)
